"store_id","state","dept_id","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday"
"CA_1","CA","FOODS_1",-0.131201166627743,-0.149306465864512,-0.144845533774854,-0.0998603555061436,0.0894570898232103,0.24781416176963,0.108606517346164
"CA_1","CA","FOODS_2",0.0296838741053158,-0.122387299660252,-0.189790290744563,-0.205855045777598,-0.0480630055078773,0.18818240491104,0.247817458482972
"CA_1","CA","FOODS_3",-0.0517967478987937,-0.181868695890369,-0.202400824559972,-0.188386777836863,0.000979733802337192,0.227085661891137,0.272306612401571
"CA_1","CA","HOBBIES_1",-0.0543231279664118,-0.110414716943244,-0.123588322824863,-0.123113479988917,0.0352858126416352,0.223609689506214,0.0962330171374757
"CA_1","CA","HOBBIES_2",-0.119922253262492,-0.11310338241931,-0.113520483572385,-0.0831155120181592,-0.000554420374898134,0.169337300174918,0.199937671673741
"CA_1","CA","HOUSEHOLD_1",-0.0179703430400125,-0.178394124985348,-0.227742588334992,-0.225576947408554,-0.0482686020192337,0.241904082051145,0.305313413199314
"CA_1","CA","HOUSEHOLD_2",-0.0992349466837426,-0.194126621533097,-0.210528745692241,-0.163796734870092,0.0272388371760347,0.26482464863565,0.245427639276178
"CA_2","CA","FOODS_1",-0.163267782532456,-0.164313312669092,-0.131524582192521,-0.0791962786398692,0.0451536733735243,0.257641842382275,0.14783269161377
"CA_2","CA","FOODS_2",-0.0337465656121987,-0.136252240067953,-0.187494486700318,-0.211903345585785,-0.0866068779912096,0.213848868330919,0.310483661819954
"CA_2","CA","FOODS_3",-0.124968488225366,-0.191494041325587,-0.191637514819105,-0.156992060111337,0.0202014499788637,0.269529086466996,0.24596347732958
"CA_2","CA","HOBBIES_1",-0.115484075380728,-0.160551786685249,-0.154255185816317,-0.145296806972992,0.0272420831526524,0.298219869102877,0.14652483961423
"CA_2","CA","HOBBIES_2",-0.142567862942895,-0.128303734435991,-0.116475429896769,-0.10274406239773,0.00057511547544725,0.217233780555347,0.195243882788227
"CA_2","CA","HOUSEHOLD_1",-0.147518486370617,-0.241414668977184,-0.263116119436316,-0.250220475795272,-0.0312465948171758,0.362222260696356,0.332539956533707
"CA_2","CA","HOUSEHOLD_2",-0.140571825694885,-0.221846395910435,-0.216957955770677,-0.209237335975287,-0.0172873354396684,0.328366734888401,0.291777711435002
"CA_3","CA","FOODS_1",-0.079269587784916,-0.102926388970137,-0.0958809780644627,-0.0751486710413335,-0.0189138366752501,0.177556169276209,0.148907326910156
"CA_3","CA","FOODS_2",0.0547099739473244,-0.0462351887607932,-0.102364312274766,-0.153311263134599,-0.1017031846467,0.0901462814437886,0.206230088452537
"CA_3","CA","FOODS_3",0.00737936839732228,-0.0809864909179282,-0.118982881446848,-0.123971617776863,-0.0425592258962472,0.128436814034887,0.184006865909602
"CA_3","CA","HOBBIES_1",-0.0359702626966633,-0.0846595504617838,-0.0800645258118509,-0.101440792544191,-0.00523555049209868,0.129613537059654,0.144369148864571
"CA_3","CA","HOBBIES_2",-0.0480469092666932,-0.038866053940814,-0.0136987322155317,-0.0383019320755341,-0.0306239917356604,0.0578813509976334,0.100875177544949
"CA_3","CA","HOUSEHOLD_1",0.017911906595812,-0.0938085805589942,-0.14443473363335,-0.162149011184234,-0.0629682375105665,0.168298768572668,0.207948079480873
"CA_3","CA","HOUSEHOLD_2",-0.0272626347242851,-0.109292700999388,-0.128398498299327,-0.128259734682925,-0.0362852077282393,0.156808502954752,0.211214280814481
"CA_4","CA","FOODS_1",-0.0650910811581759,-0.0941162050424895,-0.0580583904325389,-0.0492644831304474,0.0772427385822969,0.135316956175388,0.0307020271338271
"CA_4","CA","FOODS_2",0.0891566203423315,-0.0514882115290218,-0.11137886858995,-0.145807329658289,-0.118786947951111,0.0723933063437592,0.209618405809854
"CA_4","CA","FOODS_3",0.0128984639221045,-0.0844836435396012,-0.110410237479381,-0.104023172001407,-0.0161102835876338,0.110467878875889,0.156178668485598
"CA_4","CA","HOBBIES_1",-0.00954842280202128,-0.0161660244517327,-0.076330944001966,-0.049939405574957,-0.00335446131753244,0.0986469918000242,0.045479187052492
"CA_4","CA","HOBBIES_2",-0.0686038995528548,-0.0211247303845746,0.0173357251948474,0.00206825306405906,-0.0633756551883247,-0.00605738202424064,0.126538345670161
"CA_4","CA","HOUSEHOLD_1",0.0207045146918443,-0.0706194841106526,-0.109208435373328,-0.103974477547421,-0.060970377255241,0.127058964285616,0.158248760107631
